"f","e","d","tau_q","tau_s","v_s"
0.233060274699159,0.00731027008926688,0.10327456260284,0.0226346519627274,0.0358245367038101,0.165440989374765
0.366801024532792,0.0104086897112499,0.279045949931334,0.110958127067518,0.0926702015180414,0.339228293818605
0.439103318087275,0.0092926059680476,0.198712591636951,0.0364399231489454,0.24384155613566,0.228932145086569
0.272992245999859,0.00734257103562896,0.162256307636444,0.0500799075930924,0.0669046754808722,0.358599511991464
0.244880013172688,0.00769988077853334,0.106647624484868,0.0227396596963469,0.0405000764180929,0.136377839516921
0.315935862965633,0.00635797758996581,0.0732661787472555,0.0051607823736699,0.0666526066028794,0.18332188668202
0.173638519458397,0.00674282665258374,0.113948915663187,0.0212933316290354,0.0286908755309234,0.170119828201143
0.585718498656851,0.0065003429061683,0.105945855145562,0.185451821642646,0.111759595927685,0.451073885803233
0.34054086231694,0.0110926697904912,0.331252879302024,0.0963202978754296,0.0790145614015803,0.261345916166
0.536914924318399,0.0126735116157128,0.216414039483359,0.127572312474955,0.0582939118598524,0.219055366053045
0.37774949793401,0.00676997033766114,0.11968411021468,0.00148518854437008,0.172185574355277,0.215779636708602
0.164694927693443,0.00599323965455589,0.0806856226098773,0.00972323162540256,0.0374702331928933,0.117970286191982
0.375013601598972,0.0111652601997303,0.359902699332837,0.0707009140932247,0.165557279688811,0.1922395861087
0.425428497768943,0.00291576242261726,0.0522255767287927,0.196450649265767,0.134041757889891,0.461580679841367
0.36588523327219,0.00740378203412106,0.0723655729550909,0.0197200054219415,0.0427308812100957,0.18004351601375
0.247165042441821,0.00887071770150349,0.109423050805857,0.0410842882259121,0.0143697259402664,0.132099630858473
0.572863034651316,0.00840504410071219,0.120957735565419,0.0284296332619949,0.1799153240023,0.224797225975015
0.566203054062075,0.0115428328495426,0.235773653822768,0.125611354611088,0.0933595819663235,0.30082657055619
0.143782922540359,0.00524721620820401,0.0536375916915244,0.00218742724378274,0.0241712820447937,0.11924359219484
0.723898593983918,0.007440804157266,0.103255484673603,0.236521478427232,0.0679375635304069,0.447174224238456
0.426992205937449,0.00900606861309328,0.183417873586,0.0814971309492929,0.0724366519921915,0.322941533337229
0.286982901789301,0.0112751333969374,0.249093758587504,0.0490820145038207,0.0335016087260609,0.138969537317735
0.218728699763471,0.00210652837950853,0.0466658941877807,0.0517557769907917,0.100743082570576,0.327131759368937
0.211522952511256,0.00725852721372711,0.117337070869583,0.0215475828391209,0.0370050423104118,0.184355050361074
0.575719432620581,0.0101196646840052,0.161153518064561,0.10241037519898,0.0642656289318033,0.305398985875893
0.259051948968692,0.0112599438351069,0.300391768943697,0.0470072186853354,0.0489526643920879,0.141955268285754
0.363085120583806,0.0133523777923195,0.471635057001096,0.122580981520848,0.0825701556805836,0.213537310792544
0.45293272642799,0.00471045783823065,0.0455763943918441,0.0126958387469678,0.0807619579301644,0.289711484894317
0.312490912718344,0.0128017022149596,0.247945704033858,0.0996733318181509,0.0269853791878827,0.172268234645001
0.501496412619318,0.00919247245101396,0.208246680960533,0.119378666688652,0.102525875170789,0.324594920784183
0.308700940383488,0.00554579512423992,0.0500464143560198,0.00126922728549417,0.0537066709593859,0.302418400047744
0.249854733569421,0.00258709047851191,0.0665183164150207,0.0098378903701235,0.206516887369945,0.410765171729999
0.219636809002388,0.00618962085918717,0.144432472174438,0.0135715854998608,0.0841495408410164,0.321737294457503
0.611114900977983,0.0131130537961432,0.15335002206851,0.0945272790897622,0.102865779362249,0.150367345830293
0.316642494387898,0.00963989143065724,0.17818950341586,0.0554333034008536,0.0414089756350933,0.201658293540463
0.814209227473217,0.00709834141021659,0.0849600998964473,0.224700430850877,0.159266785615397,0.405098359325118
0.333993365815299,0.00284087641744257,0.0455741034288693,0.0516260905669697,0.119318095251897,0.494011990174181
0.397517815701187,0.00594296877487466,0.143421502939445,0.0830465933820967,0.134572008896328,0.310186417699088
0.168986803610327,0.00815045596791464,0.163640474696303,0.0226431170902153,0.0269536623409561,0.137878467570962
0.184006994723429,0.00755755738435226,0.12759202952628,0.0197670061874433,0.0236798813846306,0.122905164996467
0.458822795068592,0.00969719184062967,0.189335052194206,0.0608614921837614,0.0808580640032641,0.249567159381625
0.202696328706065,0.00809403606805148,0.201332175416846,0.013400621630133,0.0880129114622097,0.147559737087022
0.261323104686628,0.00922964819904948,0.251388009803177,0.0329682093735961,0.0719987777830777,0.1865554279179
0.263638184835324,0.00815522359309817,0.116720551842642,0.0200249375215122,0.0360812825361823,0.0925728128997605
0.23075846008247,0.0109012666038577,0.239778864895568,0.0493931878098319,0.0270095762122669,0.143530209814058
0.231515075590494,0.00913863194562659,0.212615666881355,0.0630394974709958,0.0445406536042636,0.262485867391637
0.194590932613981,0.00725410628121814,0.214393391599899,0.0166861930894768,0.0740231058116159,0.228491009458542
0.271352313904183,0.00289586610802139,0.0641290656711035,0.025605322339084,0.107479419761969,0.401409275818665
0.580502167406571,0.0114120794358907,0.179469124841347,0.0597977898419977,0.0664070033973285,0.172066848519448
0.323606405581156,0.00741895958777938,0.120607938297601,0.019242873059433,0.075083566040135,0.2120488348889
0.467694394716833,0.00442270650657939,0.0684403526085564,0.074560909217869,0.086582295726334,0.312334362487787
0.20539137149389,0.00689720458413312,0.0728915389724971,0.0186786690514751,0.0213461445386365,0.130662836148598
0.408031159607747,0.00548898233976303,0.132387839127945,0.102534676114097,0.215661022545666,0.437925974595688
0.450020300672982,0.00388825528552239,0.0309392844966005,0.02212877044383,0.0714838270199358,0.313166864411851
0.2892546693678,0.00689368012007918,0.118780441327182,0.0139724571812661,0.0629010691943765,0.208753404562501
